"service_id","date","exception_type"
"CE2F6B28","20250305","1"
"CE2F6B28","20250306","1"
"CE2F6B28","20250307","1"
"CE2F6B28","20250310","1"
"CE2F6B28","20250311","1"
"CE2F6B28","20250312","1"
"CE2F6B28","20250313","1"
"CE2F6B28","20250314","1"
"CE2F6B28","20250317","1"
"CE2F6B28","20250318","1"
"CE2F6B28","20250319","1"
"CE2F6B28","20250320","1"
"CE2F6B28","20250321","1"
"CE2F6B28","20250324","1"
"CE2F6B28","20250325","1"
"CE2F6B28","20250326","1"
"CE2F6B28","20250327","1"
"CE2F6B28","20250328","1"
"CE2F6B28","20250331","1"
"CE2F6B28","20250401","1"
"CE2F6B28","20250402","1"
"CE2F6B28","20250403","1"
"CE2F6B28","20250404","1"
"CE2F6B28","20250407","1"
"CE2F6B28","20250408","1"
"CE2F6B28","20250409","1"
"CE2F6B28","20250410","1"
"CE2F6B28","20250411","1"
"CE2F6B28","20250414","1"
"CE2F6B28","20250415","1"
"CE2F6B28","20250416","1"
"CE2F6B28","20250417","1"
"CE2F6B28","20250418","1"
"CE2F6B28","20250421","1"
"CE2F6B28","20250422","1"
"CE2F6B28","20250423","1"
"CE2F6B28","20250424","1"
"CE2F6B28","20250425","1"
"CE2F6B28","20250428","1"
"CE2F6B28","20250429","1"
"CE2F6B28","20250430","1"
"CE2F6B28","20250501","1"
"CE2F6B28","20250502","1"
"CE2F6B28","20250505","1"
"CE2F6B28","20250506","1"
"CE2F6B28","20250507","1"
"CE2F6B28","20250508","1"
"CE2F6B28","20250509","1"
"CE2F6B28","20250512","1"
"CE2F6B28","20250513","1"
"CE2F6B28","20250514","1"
"CE2F6B28","20250515","1"
"CE2F6B28","20250516","1"
"19D69193","20250308","1"
"19D69193","20250309","1"
"19D69193","20250315","1"
"19D69193","20250316","1"
"19D69193","20250322","1"
"19D69193","20250323","1"
"19D69193","20250329","1"
"19D69193","20250330","1"
"19D69193","20250405","1"
"19D69193","20250406","1"
"19D69193","20250412","1"
"19D69193","20250413","1"
"19D69193","20250419","1"
"19D69193","20250420","1"
"19D69193","20250426","1"
"19D69193","20250427","1"
"19D69193","20250503","1"
"19D69193","20250504","1"
"19D69193","20250510","1"
"19D69193","20250511","1"
"19D69193","20250517","1"
"19D69193","20250518","1"
"89180249","20250307","1"
"89180249","20250314","1"
"89180249","20250321","1"
"89180249","20250328","1"
"89180249","20250404","1"
"89180249","20250411","1"
"89180249","20250418","1"
"89180249","20250425","1"
"89180249","20250502","1"
"89180249","20250509","1"
"89180249","20250516","1"
"6F07B811","20250308","1"
"6F07B811","20250315","1"
"6F07B811","20250322","1"
"6F07B811","20250329","1"
"6F07B811","20250405","1"
"6F07B811","20250412","1"
"6F07B811","20250419","1"
"6F07B811","20250426","1"
"6F07B811","20250503","1"
"6F07B811","20250510","1"
"6F07B811","20250517","1"
"BA03C7B5","20250503","1"
"BA03C7B5","20250504","1"
"BA03C7B5","20250510","1"
"BA03C7B5","20250511","1"
"BA03C7B5","20250517","1"
"BA03C7B5","20250518","1"
"4F5BC67F","20250305","1"
"4F5BC67F","20250306","1"
"4F5BC67F","20250307","1"
"4F5BC67F","20250311","1"
"4F5BC67F","20250312","1"
"4F5BC67F","20250313","1"
"4F5BC67F","20250314","1"
"4F5BC67F","20250318","1"
"4F5BC67F","20250319","1"
"4F5BC67F","20250320","1"
"4F5BC67F","20250321","1"
"4F5BC67F","20250325","1"
"4F5BC67F","20250326","1"
"4F5BC67F","20250327","1"
"4F5BC67F","20250328","1"
"4F5BC67F","20250331","1"
"4F5BC67F","20250401","1"
"4F5BC67F","20250402","1"
"4F5BC67F","20250403","1"
"4F5BC67F","20250404","1"
"4F5BC67F","20250407","1"
"4F5BC67F","20250408","1"
"4F5BC67F","20250409","1"
"4F5BC67F","20250410","1"
"4F5BC67F","20250411","1"
"4F5BC67F","20250414","1"
"4F5BC67F","20250415","1"
"4F5BC67F","20250416","1"
"4F5BC67F","20250417","1"
"4F5BC67F","20250418","1"
"4F5BC67F","20250421","1"
"4F5BC67F","20250422","1"
"4F5BC67F","20250423","1"
"4F5BC67F","20250424","1"
"4F5BC67F","20250425","1"
"4F5BC67F","20250428","1"
"4F5BC67F","20250429","1"
"4F5BC67F","20250430","1"
"4F5BC67F","20250501","1"
"4F5BC67F","20250502","1"
"4F5BC67F","20250505","1"
"4F5BC67F","20250506","1"
"4F5BC67F","20250507","1"
"4F5BC67F","20250508","1"
"4F5BC67F","20250509","1"
"4F5BC67F","20250512","1"
"4F5BC67F","20250513","1"
"4F5BC67F","20250514","1"
"4F5BC67F","20250515","1"
"4F5BC67F","20250516","1"
"14448AD7","20250310","1"
"14448AD7","20250317","1"
"14448AD7","20250324","1"
"FAF7DC88","20250329","1"
"FAF7DC88","20250330","1"
"FAF7DC88","20250405","1"
"FAF7DC88","20250406","1"
"FAF7DC88","20250412","1"
"FAF7DC88","20250413","1"
"FAF7DC88","20250419","1"
"FAF7DC88","20250420","1"
"FAF7DC88","20250426","1"
"FAF7DC88","20250427","1"
"FAF7DC88","20250503","1"
"FAF7DC88","20250504","1"
"FAF7DC88","20250510","1"
"FAF7DC88","20250511","1"
"FAF7DC88","20250517","1"
"FAF7DC88","20250518","1"
"B93814BB","20250308","1"
"B93814BB","20250309","1"
"B93814BB","20250315","1"
"B93814BB","20250316","1"
"B93814BB","20250322","1"
"B93814BB","20250323","1"
"401C3212","20250308","1"
"401C3212","20250315","1"
"401C3212","20250322","1"
"B7D3E013","20250309","1"
"B7D3E013","20250316","1"
"B7D3E013","20250323","1"
"47BA8920","20250305","1"
"47BA8920","20250306","1"
"47BA8920","20250310","1"
"47BA8920","20250311","1"
"47BA8920","20250312","1"
"47BA8920","20250313","1"
"47BA8920","20250317","1"
"47BA8920","20250318","1"
"47BA8920","20250319","1"
"47BA8920","20250320","1"
"47BA8920","20250324","1"
"47BA8920","20250325","1"
"47BA8920","20250326","1"
"47BA8920","20250327","1"
"47BA8920","20250328","1"
"47BA8920","20250331","1"
"47BA8920","20250401","1"
"47BA8920","20250402","1"
"47BA8920","20250403","1"
"47BA8920","20250404","1"
"47BA8920","20250407","1"
"47BA8920","20250408","1"
"47BA8920","20250409","1"
"47BA8920","20250410","1"
"47BA8920","20250411","1"
"47BA8920","20250414","1"
"47BA8920","20250415","1"
"47BA8920","20250416","1"
"47BA8920","20250417","1"
"47BA8920","20250418","1"
"47BA8920","20250421","1"
"47BA8920","20250422","1"
"47BA8920","20250423","1"
"47BA8920","20250424","1"
"47BA8920","20250425","1"
"47BA8920","20250428","1"
"47BA8920","20250429","1"
"47BA8920","20250430","1"
"47BA8920","20250501","1"
"47BA8920","20250502","1"
"47BA8920","20250505","1"
"47BA8920","20250506","1"
"47BA8920","20250507","1"
"47BA8920","20250508","1"
"47BA8920","20250509","1"
"47BA8920","20250512","1"
"47BA8920","20250513","1"
"47BA8920","20250514","1"
"47BA8920","20250515","1"
"47BA8920","20250516","1"
"848CD134","20250307","1"
"848CD134","20250314","1"
"848CD134","20250321","1"
"49D36A91","20250308","1"
"49D36A91","20250315","1"
"49D36A91","20250316","1"
"49D36A91","20250322","1"
"49D36A91","20250323","1"
"49D36A91","20250329","1"
"49D36A91","20250330","1"
"49D36A91","20250405","1"
"49D36A91","20250406","1"
"49D36A91","20250412","1"
"49D36A91","20250413","1"
"49D36A91","20250419","1"
"49D36A91","20250420","1"
"49D36A91","20250426","1"
